               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  60,              1.1158,             0.63343,             0.99171,             0.76097,             0.71907,             0.76726,             0.52874,              1.0903,             0.61736,               1.002,            0.004159,            0.004159,            0.004159
                  61,              1.1056,             0.62961,             0.98935,             0.76043,             0.72162,             0.76833,             0.52964,                1.09,             0.61679,              1.0018,             0.00406,             0.00406,             0.00406
                  62,              1.1067,             0.62237,             0.98725,             0.75561,             0.72788,             0.76907,             0.53024,              1.0898,              0.6164,              1.0017,            0.003961,            0.003961,            0.003961
                  63,              1.0988,             0.61718,             0.98416,             0.75463,             0.72854,              0.7699,             0.53094,              1.0897,             0.61608,              1.0015,            0.003862,            0.003862,            0.003862
                  64,               1.102,             0.62064,              0.9843,             0.75591,             0.72823,             0.77064,             0.53186,              1.0894,             0.61579,              1.0013,            0.003763,            0.003763,            0.003763
                  65,              1.0979,               0.618,             0.98592,             0.75403,             0.72914,             0.77157,             0.53226,              1.0893,             0.61542,              1.0013,            0.003664,            0.003664,            0.003664
                  66,              1.0985,              0.6143,             0.98498,             0.75436,             0.73175,             0.77207,             0.53272,              1.0892,             0.61497,              1.0012,            0.003565,            0.003565,            0.003565
                  67,              1.0917,             0.61051,             0.98301,             0.75387,              0.7328,             0.77273,             0.53361,              1.0889,              0.6146,               1.001,            0.003466,            0.003466,            0.003466
                  68,              1.0947,             0.61073,             0.98196,             0.75487,             0.73388,             0.77328,             0.53412,              1.0888,              0.6145,              1.0009,            0.003367,            0.003367,            0.003367
                  69,              1.0913,             0.60632,              0.9802,             0.75528,             0.73433,             0.77356,             0.53409,              1.0885,             0.61434,              1.0007,            0.003268,            0.003268,            0.003268
                  70,              1.0845,             0.60212,             0.98063,              0.7573,             0.73291,             0.77397,             0.53428,              1.0883,             0.61403,              1.0005,            0.003169,            0.003169,            0.003169
                  71,              1.0874,              0.6024,             0.98168,             0.75778,              0.7329,             0.77492,             0.53499,              1.0882,             0.61361,              1.0005,             0.00307,             0.00307,             0.00307
                  72,              1.0829,             0.60131,             0.97837,             0.75583,             0.73503,              0.7755,             0.53556,               1.088,             0.61333,              1.0003,            0.002971,            0.002971,            0.002971
                  73,              1.0817,             0.59613,              0.9802,             0.75462,              0.7374,             0.77574,             0.53559,              1.0879,             0.61303,              1.0003,            0.002872,            0.002872,            0.002872
                  74,              1.0809,             0.59541,             0.97799,             0.75287,             0.73872,             0.77616,             0.53631,              1.0878,             0.61279,              1.0002,            0.002773,            0.002773,            0.002773
                  75,               1.076,             0.59284,             0.97608,             0.75344,             0.73991,             0.77643,             0.53671,              1.0876,             0.61257,              1.0001,            0.002674,            0.002674,            0.002674
                  76,              1.0735,             0.59048,             0.97424,             0.75424,             0.73634,             0.77685,             0.53747,              1.0877,             0.61239,                   1,            0.002575,            0.002575,            0.002575
                  77,              1.0722,             0.58928,             0.97552,             0.75611,             0.73766,             0.77736,             0.53782,              1.0877,             0.61211,             0.99998,            0.002476,            0.002476,            0.002476
                  78,              1.0668,             0.58291,             0.97307,             0.75618,             0.73641,             0.77774,             0.53786,              1.0876,             0.61196,              0.9999,            0.002377,            0.002377,            0.002377
                  79,              1.0678,             0.58402,             0.97318,             0.75596,             0.73828,             0.77824,             0.53806,              1.0875,             0.61193,             0.99981,            0.002278,            0.002278,            0.002278
                  80,              1.0651,             0.58212,             0.97181,             0.75549,             0.73878,             0.77851,             0.53882,              1.0872,             0.61146,             0.99968,            0.002179,            0.002179,            0.002179
                  81,              1.0615,             0.57918,             0.97185,             0.75648,             0.73846,             0.77879,             0.53917,              1.0872,             0.61148,             0.99957,             0.00208,             0.00208,             0.00208
                  82,              1.0639,             0.57677,             0.97151,             0.75658,             0.73926,             0.77917,              0.5399,              1.0871,             0.61124,             0.99948,            0.001981,            0.001981,            0.001981
                  83,               1.057,             0.57207,              0.9692,             0.75375,             0.74142,             0.77955,             0.54038,              1.0871,             0.61107,             0.99941,            0.001882,            0.001882,            0.001882
                  84,              1.0525,             0.57133,             0.96992,             0.76176,             0.73755,             0.78004,             0.54091,               1.087,             0.61089,             0.99935,            0.001783,            0.001783,            0.001783
                  85,              1.0546,             0.57017,             0.97004,             0.76075,              0.7387,             0.78032,             0.54088,               1.087,             0.61074,             0.99926,            0.001684,            0.001684,            0.001684
                  86,              1.0516,             0.57022,             0.96825,             0.76043,              0.7391,             0.78042,             0.54103,               1.087,             0.61064,             0.99922,            0.001585,            0.001585,            0.001585
                  87,              1.0496,             0.56547,             0.96714,             0.76235,             0.73674,             0.78077,             0.54113,               1.087,             0.61059,              0.9991,            0.001486,            0.001486,            0.001486
                  88,              1.0485,             0.56509,             0.96546,             0.76436,              0.7358,             0.78092,             0.54114,              1.0868,             0.61029,             0.99896,            0.001387,            0.001387,            0.001387
                  89,              1.0436,             0.56125,             0.96523,             0.76522,             0.73552,             0.78137,             0.54133,              1.0867,             0.61016,              0.9989,            0.001288,            0.001288,            0.001288
                  90,              1.0261,             0.52705,             0.99252,             0.76469,             0.73579,             0.78161,             0.54134,              1.0866,             0.61024,             0.99881,            0.001189,            0.001189,            0.001189
                  91,              1.0187,             0.52444,             0.99088,             0.76606,             0.73479,             0.78158,             0.54148,              1.0866,             0.61011,             0.99875,             0.00109,             0.00109,             0.00109
                  92,              1.0155,             0.51642,             0.98591,             0.76437,             0.73525,             0.78193,             0.54168,              1.0866,             0.61029,             0.99868,            0.000991,            0.000991,            0.000991
                  93,              1.0096,             0.51423,             0.98489,             0.76623,             0.73571,             0.78228,             0.54181,              1.0865,             0.61019,             0.99864,            0.000892,            0.000892,            0.000892
                  94,              1.0057,             0.51037,             0.98269,             0.76833,             0.73255,              0.7821,             0.54252,              1.0864,             0.61013,             0.99856,            0.000793,            0.000793,            0.000793
                  95,              1.0023,             0.50939,             0.98005,             0.75779,              0.7424,             0.78266,             0.54264,              1.0864,             0.61005,             0.99854,            0.000694,            0.000694,            0.000694
                  96,             0.99995,             0.50701,             0.98006,             0.75897,             0.74157,             0.78336,             0.54289,              1.0864,             0.61008,             0.99848,            0.000595,            0.000595,            0.000595
                  97,              0.9953,             0.50098,             0.97721,             0.75656,             0.74532,             0.78373,             0.54337,              1.0861,             0.61007,             0.99842,            0.000496,            0.000496,            0.000496
                  98,             0.99308,             0.49885,             0.97923,             0.75735,             0.74462,             0.78416,             0.54366,              1.0859,             0.61011,             0.99832,            0.000397,            0.000397,            0.000397
                  99,              0.9922,             0.49904,             0.97781,             0.75827,             0.74437,             0.78431,             0.54367,              1.0858,             0.60991,             0.99829,            0.000298,            0.000298,            0.000298
